frame,native_on,rt_on,iou,rt_only_frac,native_only_frac
74,300583,310385,0.9663292728062695,0.032643330057831405,0.0010978664794748872
75,257817,266956,0.9646325483883045,0.03481098008660603,0.0005973229073334963
76,179690,184870,0.9668098146269881,0.030648563855682372,0.0027046580221492572
77,163844,166515,0.98118718065584,0.01743987028195658,0.0014220844217670467
78,199790,203506,0.975062930350549,0.021640639588021975,0.003443615796586416
79,219429,228310,0.9584248235077989,0.040265428583942886,0.0014218722229058147
80,164452,170665,0.9614002434798895,0.03752380394339788,0.0011614331233429816
81,143469,147681,0.9607380968415381,0.0339989572118282,0.005638848810544438
82,120525,119877,0.9727558447739638,0.011144756708960018,0.01646131507985895
83,295297,293482,0.9894341331224891,0.0022352307807633857,0.00836784660866856
84,207307,206201,0.9861476685431037,0.004311327297151809,0.009623408760919796
85,202598,201222,0.9820942994296484,0.005645505958592997,0.012398937798003929
86,201969,202141,0.9827683491077518,0.0091124512097991,0.008268595675573974
87,278587,275562,0.9891416325959216,0.0,0.010858367404078438
88,234007,233049,0.9841288721983381,0.005960119974769255,0.010029614498711576
89,152789,153002,0.978256650450264,0.011679585887766172,0.01030178874133609
90,126080,125336,0.9738718085607512,0.010308291312950787,0.016148477157360407
