lane,variant,truth,storage_codec,model_codec,pred,n
dino,-10,BPSK,sc16,bfp8,5G_Downlink,17
dino,-10,BPSK,sc16,bfp8,802_11ax,9
dino,-10,BPSK,sc16,bfp8,NOISE,12
dino,-10,BPSK,sc16,bfp8,Narrowband_FM,1
dino,-10,BPSK,sc16,bfp8,OFDM,17
dino,-10,BPSK,sc16,none,5G_Downlink,18
dino,-10,BPSK,sc16,none,802_11ax,9
dino,-10,BPSK,sc16,none,NOISE,12
dino,-10,BPSK,sc16,none,OFDM,17
dino,-10,BPSK,sc16,sc16,5G_Downlink,15
dino,-10,BPSK,sc16,sc16,802_11ax,12
dino,-10,BPSK,sc16,sc16,NOISE,12
dino,-10,BPSK,sc16,sc16,OFDM,17
dino,-10,Bluetooth,bfp12,bfp12,NOISE,1
dino,-10,Bluetooth,bfp12,bfp8,BPSK,1
dino,-10,Bluetooth,bfp12,none,BPSK,1
dino,-10,Bluetooth,bfp12,sc16,5G_Downlink,1
dino,-10,Bluetooth,bfp8,bfp12,NOISE,1
dino,-10,Bluetooth,bfp8,bfp8,BPSK,1
dino,-10,Bluetooth,bfp8,none,BPSK,1
dino,-10,Bluetooth,bfp8,sc16,5G_Downlink,1
dino,-10,Bluetooth,none,bfp12,NOISE,1
dino,-10,Bluetooth,none,bfp8,BPSK,1
dino,-10,Bluetooth,none,none,BPSK,1
dino,-10,Bluetooth,none,sc16,5G_Downlink,1
dino,-10,Bluetooth,sc16,bfp12,NOISE,1
dino,-10,Bluetooth,sc16,bfp8,BPSK,1
dino,-10,Bluetooth,sc16,none,BPSK,1
dino,-10,Bluetooth,sc16,sc16,5G_Downlink,1
dino,-10,Broadband_FM,bfp12,bfp12,802_11ax,2
dino,-10,Broadband_FM,bfp12,bfp12,OFDM,1
dino,-10,Broadband_FM,bfp12,bfp8,802_11ax,2
dino,-10,Broadband_FM,bfp12,bfp8,OFDM,1
dino,-10,Broadband_FM,bfp12,none,802_11ax,2
dino,-10,Broadband_FM,bfp12,none,OFDM,1
dino,-10,Broadband_FM,bfp12,sc16,802_11ax,2
dino,-10,Broadband_FM,bfp12,sc16,OFDM,1
dino,-10,Broadband_FM,bfp8,bfp12,802_11ax,2
dino,-10,Broadband_FM,bfp8,bfp12,OFDM,1
dino,-10,Broadband_FM,bfp8,bfp8,802_11ax,2
dino,-10,Broadband_FM,bfp8,bfp8,OFDM,1
dino,-10,Broadband_FM,bfp8,none,802_11ax,2
dino,-10,Broadband_FM,bfp8,none,OFDM,1
dino,-10,Broadband_FM,bfp8,sc16,802_11ax,2
dino,-10,Broadband_FM,bfp8,sc16,OFDM,1
dino,-10,Broadband_FM,none,bfp12,802_11ax,2
dino,-10,Broadband_FM,none,bfp12,OFDM,1
dino,-10,Broadband_FM,none,bfp8,802_11ax,2
dino,-10,Broadband_FM,none,bfp8,OFDM,1
dino,-10,Broadband_FM,none,none,802_11ax,2
dino,-10,Broadband_FM,none,none,OFDM,1
dino,-10,Broadband_FM,none,sc16,802_11ax,2
dino,-10,Broadband_FM,none,sc16,OFDM,1
dino,-10,Broadband_FM,sc16,bfp12,802_11ax,2
dino,-10,Broadband_FM,sc16,bfp12,OFDM,1
dino,-10,Broadband_FM,sc16,bfp8,802_11ax,2
dino,-10,Broadband_FM,sc16,bfp8,OFDM,1
dino,-10,Broadband_FM,sc16,none,802_11ax,2
dino,-10,Broadband_FM,sc16,none,OFDM,1
dino,-10,Broadband_FM,sc16,sc16,802_11ax,2
dino,-10,Broadband_FM,sc16,sc16,OFDM,1
dino,-10,NOISE,bfp12,bfp12,16QAM,141
dino,-10,NOISE,bfp12,bfp12,5G_Downlink,1636
dino,-10,NOISE,bfp12,bfp12,802_11ax,2403
dino,-10,NOISE,bfp12,bfp12,BPSK,131
dino,-10,NOISE,bfp12,bfp12,Bluetooth,54
dino,-10,NOISE,bfp12,bfp12,Broadband_FM,1536
dino,-10,NOISE,bfp12,bfp12,NOISE,907
dino,-10,NOISE,bfp12,bfp12,Narrowband_FM,73
dino,-10,NOISE,bfp12,bfp12,OFDM,2231
dino,-10,NOISE,bfp12,bfp12,QPSK,132
dino,-10,NOISE,bfp12,bfp8,16QAM,135
dino,-10,NOISE,bfp12,bfp8,5G_Downlink,1742
dino,-10,NOISE,bfp12,bfp8,802_11ax,2130
dino,-10,NOISE,bfp12,bfp8,BPSK,100
dino,-10,NOISE,bfp12,bfp8,Bluetooth,59
dino,-10,NOISE,bfp12,bfp8,Broadband_FM,1870
dino,-10,NOISE,bfp12,bfp8,NOISE,836
dino,-10,NOISE,bfp12,bfp8,Narrowband_FM,98
dino,-10,NOISE,bfp12,bfp8,OFDM,2146
dino,-10,NOISE,bfp12,bfp8,QPSK,128
dino,-10,NOISE,bfp12,none,16QAM,219
dino,-10,NOISE,bfp12,none,5G_Downlink,1895
dino,-10,NOISE,bfp12,none,802_11ax,2329
dino,-10,NOISE,bfp12,none,BPSK,183
dino,-10,NOISE,bfp12,none,Bluetooth,79
dino,-10,NOISE,bfp12,none,Broadband_FM,1284
dino,-10,NOISE,bfp12,none,NOISE,763
dino,-10,NOISE,bfp12,none,Narrowband_FM,98
dino,-10,NOISE,bfp12,none,OFDM,2318
dino,-10,NOISE,bfp12,none,QPSK,76
dino,-10,NOISE,bfp12,sc16,16QAM,148
dino,-10,NOISE,bfp12,sc16,5G_Downlink,1739
dino,-10,NOISE,bfp12,sc16,802_11ax,2581
dino,-10,NOISE,bfp12,sc16,BPSK,98
dino,-10,NOISE,bfp12,sc16,Bluetooth,44
dino,-10,NOISE,bfp12,sc16,Broadband_FM,796
dino,-10,NOISE,bfp12,sc16,NOISE,740
dino,-10,NOISE,bfp12,sc16,Narrowband_FM,64
dino,-10,NOISE,bfp12,sc16,OFDM,2967
dino,-10,NOISE,bfp12,sc16,QPSK,67
dino,-10,NOISE,bfp8,bfp12,16QAM,143
dino,-10,NOISE,bfp8,bfp12,5G_Downlink,1644
dino,-10,NOISE,bfp8,bfp12,802_11ax,2423
dino,-10,NOISE,bfp8,bfp12,BPSK,130
dino,-10,NOISE,bfp8,bfp12,Bluetooth,59
dino,-10,NOISE,bfp8,bfp12,Broadband_FM,1466
dino,-10,NOISE,bfp8,bfp12,NOISE,923
dino,-10,NOISE,bfp8,bfp12,Narrowband_FM,74
dino,-10,NOISE,bfp8,bfp12,OFDM,2256
dino,-10,NOISE,bfp8,bfp12,QPSK,126
dino,-10,NOISE,bfp8,bfp8,16QAM,135
dino,-10,NOISE,bfp8,bfp8,5G_Downlink,1740
dino,-10,NOISE,bfp8,bfp8,802_11ax,2138
dino,-10,NOISE,bfp8,bfp8,BPSK,98
dino,-10,NOISE,bfp8,bfp8,Bluetooth,59
dino,-10,NOISE,bfp8,bfp8,Broadband_FM,1864
dino,-10,NOISE,bfp8,bfp8,NOISE,842
dino,-10,NOISE,bfp8,bfp8,Narrowband_FM,96
dino,-10,NOISE,bfp8,bfp8,OFDM,2144
dino,-10,NOISE,bfp8,bfp8,QPSK,128
dino,-10,NOISE,bfp8,none,16QAM,215
dino,-10,NOISE,bfp8,none,5G_Downlink,1919
dino,-10,NOISE,bfp8,none,802_11ax,2284
dino,-10,NOISE,bfp8,none,BPSK,172
dino,-10,NOISE,bfp8,none,Bluetooth,73
dino,-10,NOISE,bfp8,none,Broadband_FM,1359
dino,-10,NOISE,bfp8,none,NOISE,746
dino,-10,NOISE,bfp8,none,Narrowband_FM,96
dino,-10,NOISE,bfp8,none,OFDM,2298
dino,-10,NOISE,bfp8,none,QPSK,82
dino,-10,NOISE,bfp8,sc16,16QAM,154
dino,-10,NOISE,bfp8,sc16,5G_Downlink,1738
dino,-10,NOISE,bfp8,sc16,802_11ax,2583
dino,-10,NOISE,bfp8,sc16,BPSK,101
dino,-10,NOISE,bfp8,sc16,Bluetooth,45
dino,-10,NOISE,bfp8,sc16,Broadband_FM,823
