lane,variant,class,snr_bin,storage_codec,model_codec,n,correct
dino,0,16QAM,5,bfp12,none,106,1
dino,0,16QAM,5,bfp12,sc16,106,0
dino,0,16QAM,5,bfp8,bfp12,106,0
dino,0,16QAM,5,bfp8,bfp8,106,0
dino,0,16QAM,5,bfp8,none,106,1
dino,0,16QAM,5,bfp8,sc16,106,0
dino,0,16QAM,5,none,bfp12,106,0
dino,0,16QAM,5,none,bfp8,106,0
dino,0,16QAM,5,none,none,106,1
dino,0,16QAM,5,none,sc16,106,0
dino,0,16QAM,5,sc16,bfp12,106,0
dino,0,16QAM,5,sc16,bfp8,106,0
dino,0,16QAM,5,sc16,none,106,1
dino,0,16QAM,5,sc16,sc16,106,0
dino,0,5G_Downlink,-10,bfp12,bfp12,47,13
dino,0,5G_Downlink,-10,bfp12,bfp8,47,18
dino,0,5G_Downlink,-10,bfp12,none,47,13
dino,0,5G_Downlink,-10,bfp12,sc16,47,14
dino,0,5G_Downlink,-10,bfp8,bfp12,47,12
dino,0,5G_Downlink,-10,bfp8,bfp8,47,18
dino,0,5G_Downlink,-10,bfp8,none,47,13
dino,0,5G_Downlink,-10,bfp8,sc16,47,15
dino,0,5G_Downlink,-10,none,bfp12,47,13
dino,0,5G_Downlink,-10,none,bfp8,47,18
dino,0,5G_Downlink,-10,none,none,47,13
dino,0,5G_Downlink,-10,none,sc16,47,14
dino,0,5G_Downlink,-10,sc16,bfp12,47,13
dino,0,5G_Downlink,-10,sc16,bfp8,47,18
dino,0,5G_Downlink,-10,sc16,none,47,13
dino,0,5G_Downlink,-10,sc16,sc16,47,14
dino,0,5G_Downlink,-15,bfp12,bfp12,66,24
dino,0,5G_Downlink,-15,bfp12,bfp8,66,18
dino,0,5G_Downlink,-15,bfp12,none,66,12
dino,0,5G_Downlink,-15,bfp12,sc16,66,16
dino,0,5G_Downlink,-15,bfp8,bfp12,66,24
dino,0,5G_Downlink,-15,bfp8,bfp8,66,18
dino,0,5G_Downlink,-15,bfp8,none,66,12
dino,0,5G_Downlink,-15,bfp8,sc16,66,17
dino,0,5G_Downlink,-15,none,bfp12,66,24
dino,0,5G_Downlink,-15,none,bfp8,66,18
dino,0,5G_Downlink,-15,none,none,66,12
dino,0,5G_Downlink,-15,none,sc16,66,16
dino,0,5G_Downlink,-15,sc16,bfp12,66,24
dino,0,5G_Downlink,-15,sc16,bfp8,66,18
dino,0,5G_Downlink,-15,sc16,none,66,12
dino,0,5G_Downlink,-15,sc16,sc16,66,16
dino,0,5G_Downlink,-5,bfp12,bfp12,80,41
dino,0,5G_Downlink,-5,bfp12,bfp8,80,43
dino,0,5G_Downlink,-5,bfp12,none,80,36
dino,0,5G_Downlink,-5,bfp12,sc16,80,24
dino,0,5G_Downlink,-5,bfp8,bfp12,80,39
dino,0,5G_Downlink,-5,bfp8,bfp8,80,43
dino,0,5G_Downlink,-5,bfp8,none,80,35
dino,0,5G_Downlink,-5,bfp8,sc16,80,23
dino,0,5G_Downlink,-5,none,bfp12,80,41
dino,0,5G_Downlink,-5,none,bfp8,80,43
dino,0,5G_Downlink,-5,none,none,80,36
dino,0,5G_Downlink,-5,none,sc16,80,24
dino,0,5G_Downlink,-5,sc16,bfp12,80,41
dino,0,5G_Downlink,-5,sc16,bfp8,80,43
dino,0,5G_Downlink,-5,sc16,none,80,36
dino,0,5G_Downlink,-5,sc16,sc16,80,24
dino,0,5G_Downlink,0,bfp12,bfp12,23,1
dino,0,5G_Downlink,0,bfp12,bfp8,23,7
dino,0,5G_Downlink,0,bfp12,none,23,3
dino,0,5G_Downlink,0,bfp12,sc16,23,3
dino,0,5G_Downlink,0,bfp8,bfp12,23,2
dino,0,5G_Downlink,0,bfp8,bfp8,23,7
dino,0,5G_Downlink,0,bfp8,none,23,2
dino,0,5G_Downlink,0,bfp8,sc16,23,4
dino,0,5G_Downlink,0,none,bfp12,23,1
dino,0,5G_Downlink,0,none,bfp8,23,7
dino,0,5G_Downlink,0,none,none,23,3
dino,0,5G_Downlink,0,none,sc16,23,3
dino,0,5G_Downlink,0,sc16,bfp12,23,1
dino,0,5G_Downlink,0,sc16,bfp8,23,7
dino,0,5G_Downlink,0,sc16,none,23,3
dino,0,5G_Downlink,0,sc16,sc16,23,3
dino,0,802_11ax,-10,bfp12,bfp12,85,8
dino,0,802_11ax,-10,bfp12,bfp8,85,7
dino,0,802_11ax,-10,bfp12,none,85,7
dino,0,802_11ax,-10,bfp12,sc16,85,5
dino,0,802_11ax,-10,bfp8,bfp12,85,8
dino,0,802_11ax,-10,bfp8,bfp8,85,7
dino,0,802_11ax,-10,bfp8,none,85,6
dino,0,802_11ax,-10,bfp8,sc16,85,5
dino,0,802_11ax,-10,none,bfp12,85,8
dino,0,802_11ax,-10,none,bfp8,85,7
dino,0,802_11ax,-10,none,none,85,7
dino,0,802_11ax,-10,none,sc16,85,5
dino,0,802_11ax,-10,sc16,bfp12,85,8
dino,0,802_11ax,-10,sc16,bfp8,85,7
dino,0,802_11ax,-10,sc16,none,85,7
dino,0,802_11ax,-10,sc16,sc16,85,5
dino,0,802_11ax,-15,bfp12,bfp12,3,0
dino,0,802_11ax,-15,bfp12,bfp8,3,0
dino,0,802_11ax,-15,bfp12,none,3,0
