ts,mem_used_gb,mem_avail_gb,swap_used_gb,gpu_mem_mb,gpu_util,load1,my_rss_gb,warn
01:03:22,24.7,100.4,6.2,3753,100,1.44,9.8,
01:04:22,25.0,100.0,6.2,3753,100,1.22,12.3,
01:05:22,24.8,100.2,6.2,3753,100,1.08,14.8,
01:06:22,24.9,100.2,6.2,3753,100,1.30,8.6,
01:07:22,24.7,100.4,6.2,3753,100,1.21,9.7,
01:08:22,24.8,100.2,6.2,3753,100,1.65,12.2,
01:09:22,24.8,100.2,6.2,3753,100,1.31,14.6,
01:10:22,24.8,100.3,6.2,3753,100,1.11,8.5,
01:11:22,24.9,100.2,6.2,3753,100,1.16,9.6,
01:12:22,24.8,100.2,6.2,3753,100,1.14,12.1,
01:13:22,24.8,100.3,6.2,3753,100,1.72,14.5,
01:14:23,24.8,100.2,6.2,3753,100,1.91,16.9,
01:15:23,24.8,100.2,6.2,3753,100,1.73,9.5,
01:16:23,24.8,100.3,6.2,3753,100,1.61,11.9,
01:17:23,24.9,100.2,6.2,3753,100,1.41,14.4,
01:18:23,25.0,100.1,6.2,3753,100,1.15,16.8,
01:19:23,24.7,100.3,6.2,3753,100,1.14,9.3,
01:20:23,24.9,100.2,6.2,3753,100,1.17,11.8,
01:21:23,24.8,100.2,6.2,3753,100,1.28,14.3,
01:22:23,24.8,100.2,6.2,3753,100,1.47,16.7,
01:23:23,24.8,100.2,6.2,3753,100,1.33,9.2,
01:24:23,24.8,100.2,6.2,3753,100,1.19,11.7,
01:25:23,24.8,100.2,6.2,3753,100,1.07,14.2,
01:26:23,24.8,100.2,6.2,3753,100,1.02,16.5,
01:27:23,24.7,100.3,6.2,3753,100,1.15,9.0,
01:28:23,24.8,100.2,6.2,3753,100,1.05,11.6,
01:29:23,24.8,100.3,6.2,3753,100,1.29,14.0,
01:30:24,24.7,100.3,6.2,3753,100,1.10,16.3,
01:31:24,24.7,100.3,6.2,3753,100,1.14,8.9,
01:32:24,24.7,100.3,6.2,3753,100,1.05,11.4,
01:33:24,24.7,100.3,6.2,3753,100,1.08,13.9,
01:34:24,24.8,100.3,6.2,3753,100,1.11,16.3,
