col_bin,freq_ghz,offline_occ_pct,loopback_occ_pct
302,2.299342,0.00000,0.00000
303,2.299822,0.00000,0.00000
304,2.300303,0.00000,0.00000
305,2.300783,0.00000,0.00000
306,2.301264,0.00000,0.00000
307,2.301744,0.00000,0.00000
308,2.302225,0.00000,0.00000
309,2.302705,0.00000,0.00000
310,2.303185,0.00000,0.00000
311,2.303666,0.00000,0.00000
312,2.304146,0.00000,0.00000
313,2.304627,0.00000,0.00000
314,2.305107,0.00000,0.00000
315,2.305588,0.00000,0.00000
316,2.306068,0.00000,0.00703
317,2.306549,0.00000,0.01094
318,2.307029,0.00000,0.01328
319,2.307510,0.00000,0.01641
320,2.307990,0.00000,0.01953
321,2.308471,0.00000,0.02109
322,2.308951,0.00000,0.02500
323,2.309432,0.00000,0.02734
324,2.309912,0.00000,0.02891
325,2.310392,0.00000,0.03047
326,2.310873,0.00000,0.03203
327,2.311353,0.00000,0.03281
328,2.311834,0.00000,0.03438
329,2.312314,0.00000,0.03594
330,2.312795,0.00000,0.03672
331,2.313275,0.00000,0.03750
332,2.313756,0.00000,0.03906
333,2.314236,0.00000,0.03984
334,2.314717,0.00000,0.04063
335,2.315197,0.00000,0.04141
336,2.315678,0.00000,0.04297
337,2.316158,0.00000,0.04375
338,2.316639,0.00000,0.04453
339,2.317119,0.00000,0.04531
340,2.317600,0.00000,0.04609
341,2.318080,0.00000,0.04688
342,2.318560,0.00000,0.04766
343,2.319041,0.00000,0.04844
344,2.319521,0.00000,0.04844
345,2.320002,0.00000,0.05000
346,2.320482,0.00000,0.05000
347,2.320963,0.00000,0.05078
348,2.321443,0.00000,0.05156
349,2.321924,0.00000,0.05234
350,2.322404,0.00000,0.05234
351,2.322885,0.00000,0.05234
352,2.323365,0.00000,0.05313
353,2.323846,0.00000,0.05391
354,2.324326,0.00000,0.05391
355,2.324807,0.00000,0.05391
356,2.325287,0.00000,0.05391
357,2.325768,0.00000,0.05469
358,2.326248,0.00000,0.05391
359,2.326728,0.00000,0.05391
360,2.327209,0.00000,0.05391
361,2.327689,0.00000,0.05391
362,2.328170,0.00000,0.05391
363,2.328650,0.00000,0.05391
364,2.329131,0.00000,0.05391
365,2.329611,0.00000,0.05391
366,2.330092,0.00000,0.05313
367,2.330572,0.00000,0.05234
368,2.331053,0.00000,0.05234
369,2.331533,0.00000,0.05234
370,2.332014,0.00000,0.05078
371,2.332494,0.00000,0.05078
372,2.332975,0.00000,0.05078
373,2.333455,0.00000,0.05000
374,2.333935,0.00000,0.05000
375,2.334416,0.00000,0.04844
376,2.334896,0.00000,0.04844
377,2.335377,0.00000,0.04766
378,2.335857,0.00000,0.04766
379,2.336338,0.00000,0.04766
380,2.336818,0.00000,0.04609
381,2.337299,0.00000,0.04688
382,2.337779,0.00000,0.04531
383,2.338260,0.00000,0.04531
384,2.338740,0.00000,0.04531
385,2.339221,0.00000,0.04453
386,2.339701,0.00000,0.04375
387,2.340182,0.00000,0.04297
388,2.340662,0.00000,0.04297
389,2.341143,0.00000,0.04219
390,2.341623,0.00000,0.04141
391,2.342103,0.00000,0.04063
392,2.342584,0.00000,0.04063
393,2.343064,0.00000,0.03906
394,2.343545,0.00000,0.03828
395,2.344025,0.00000,0.03750
396,2.344506,0.00000,0.03672
397,2.344986,0.00000,0.03594
398,2.345467,0.00000,0.03516
399,2.345947,0.00000,0.03438
400,2.346428,0.00000,0.03281
401,2.346908,0.00000,0.02969
402,2.347389,0.00000,0.02422
403,2.347869,0.00000,0.02031
404,2.348350,0.00000,0.01641
405,2.348830,0.00000,0.01328
406,2.349310,0.00000,0.00781
407,2.349791,0.00000,0.00313
408,2.350271,0.00000,0.00000
409,2.350752,0.00000,0.00000
410,2.351232,0.00000,0.00000
411,2.351713,0.00000,0.00000
412,2.352193,0.00000,0.00000
413,2.352674,0.00000,0.00000
414,2.353154,0.00000,0.00000
415,2.353635,0.00000,0.00000
416,2.354115,0.00000,0.00000
417,2.354596,0.00000,0.00000
418,2.355076,0.00000,0.00000
419,2.355557,0.00000,0.00000
420,2.356037,0.00000,0.00000
421,2.356518,0.00000,0.00000
422,2.356998,0.00000,0.00000
423,2.357478,0.00000,0.00000
424,2.357959,0.00000,0.00000
425,2.358439,0.00000,0.00000
426,2.358920,0.00000,0.00000
427,2.359400,0.00000,0.00000
428,2.359881,0.00000,0.00000
429,2.360361,0.00000,0.00000
430,2.360842,0.00000,0.00000
431,2.361322,0.00000,0.00000
432,2.361803,0.00000,0.00000
433,2.362283,0.00000,0.00000
434,2.362764,0.00000,0.00000
435,2.363244,0.00000,0.00000
436,2.363725,0.00000,0.00000
437,2.364205,0.00000,0.00000
438,2.364686,0.00000,0.00000
439,2.365166,0.00000,0.00000
440,2.365646,0.00000,0.00000
441,2.366127,0.00000,0.00000
442,2.366607,0.00000,0.00000
443,2.367088,0.00000,0.00000
444,2.367568,0.00000,0.00000
445,2.368049,0.00000,0.00000
446,2.368529,0.00000,0.00000
447,2.369010,0.00000,0.00000
448,2.369490,0.00000,0.00000
449,2.369971,0.00000,0.00000
450,2.370451,0.00000,0.00000
451,2.370932,0.00000,0.00000
452,2.371412,0.00000,0.00000
453,2.371893,0.00000,0.00000
454,2.372373,0.00000,0.00000
455,2.372853,0.00000,0.00000
456,2.373334,0.00000,0.00000
457,2.373814,0.00000,0.00000
458,2.374295,0.00000,0.00000
459,2.374775,0.00000,0.00000
460,2.375256,0.00000,0.00000
461,2.375736,0.00000,0.00000
462,2.376217,0.00000,0.00000
463,2.376697,0.00000,0.00000
464,2.377178,0.00000,0.00000
465,2.377658,0.00000,0.00000
466,2.378139,0.00000,0.00000
467,2.378619,0.00000,0.00000
468,2.379100,0.00000,0.00000
469,2.379580,0.00000,0.00000
470,2.380061,0.00000,0.00000
471,2.380541,0.00000,0.00000
472,2.381021,0.00000,0.00000
473,2.381502,0.00000,0.00000
474,2.381982,0.00000,0.00000
475,2.382463,0.00000,0.00000
476,2.382943,0.00000,0.00000
477,2.383424,0.00000,0.00000
478,2.383904,0.00000,0.00000
479,2.384385,0.00000,0.00000
480,2.384865,0.00000,0.00000
481,2.385346,0.00000,0.00000
482,2.385826,0.00000,0.00000
483,2.386307,0.00000,0.00000
484,2.386787,0.00000,0.00000
485,2.387268,0.00000,0.00000
486,2.387748,0.00000,0.00000
487,2.388229,0.00000,0.00000
488,2.388709,0.00000,0.00000
489,2.389189,0.00000,0.00000
490,2.389670,0.00000,0.00000
491,2.390150,0.00000,0.00000
492,2.390631,0.00000,0.00000
493,2.391111,0.00000,0.00000
494,2.391592,0.00000,0.00000
495,2.392072,0.00000,0.00000
496,2.392553,0.00000,0.00000
497,2.393033,0.00000,0.00000
498,2.393514,0.00000,0.00000
499,2.393994,0.00000,0.00000
500,2.394475,0.00000,0.00000
501,2.394955,0.00000,0.00000
502,2.395436,0.00000,0.00000
503,2.395916,0.00000,0.00000
504,2.396396,0.00000,0.00000
505,2.396877,0.00000,0.00000
506,2.397357,0.00000,0.00078
507,2.397838,0.00000,0.00078
508,2.398318,0.00000,0.00234
509,2.398799,0.00000,0.00313
510,2.399279,0.00000,0.00391
511,2.399760,0.18682,0.00781
512,2.400240,0.40336,0.10547
513,2.400721,0.91712,0.39844
514,2.401201,1.48183,0.89844
515,2.401682,1.68139,1.08437
516,2.402162,1.63468,1.07031
517,2.402643,1.10819,0.78750
518,2.403123,0.50526,0.21328
519,2.403604,0.24626,0.05313
520,2.404084,0.13587,0.09297
521,2.404564,0.12313,0.13828
522,2.405045,0.16559,0.21250
523,2.405525,1.29501,0.96953
524,2.406006,3.12925,2.72422
525,2.406486,3.58356,3.49141
526,2.406967,3.94871,3.85937
527,2.407447,4.33509,4.13984
528,2.407928,4.56012,4.43359
529,2.408408,4.74270,4.65078
530,2.408889,4.91253,4.81016
531,2.409369,5.03567,4.91172
532,2.409850,5.13332,4.99609
533,2.410330,5.25645,5.07188
534,2.410811,5.40931,5.15156
535,2.411291,5.49423,5.19922
536,2.411771,5.54093,5.24609
537,2.412252,5.62160,5.27813
538,2.412732,5.64708,5.31172
539,2.413213,5.65557,5.35313
540,2.413693,5.63434,5.36406
541,2.414174,5.72351,5.39141
542,2.414654,5.82541,5.40703
543,2.415135,5.88485,5.42344
544,2.415615,5.92731,5.41172
545,2.416096,5.91457,5.38047
546,2.416576,5.86362,5.37109
547,2.417057,5.71926,5.29375
548,2.417537,5.56216,5.22031
549,2.418018,5.31590,5.03437
550,2.418498,4.84460,4.37266
551,2.418979,2.40744,2.39219
552,2.419459,1.54552,1.56094
553,2.419939,1.28227,1.15781
554,2.420420,0.90863,0.80859
555,2.420900,0.59018,0.55000
556,2.421381,0.47130,0.36875
557,2.421861,0.40336,0.30078
558,2.422342,0.31420,0.27344
559,2.422822,0.26749,0.24687
560,2.423303,0.26749,0.25469
561,2.423783,0.41610,0.25625
562,2.424264,0.58169,0.32344
563,2.424744,0.95109,0.45625
564,2.425225,1.59647,0.87422
565,2.425705,1.89793,1.02422
566,2.426186,1.71111,0.90391
567,2.426666,1.00628,0.65312
568,2.427147,0.39487,0.39141
569,2.427627,0.33118,0.34297
570,2.428107,0.35666,0.35234
571,2.428588,0.36515,0.37891
572,2.429068,0.50951,0.44062
573,2.429549,0.67086,0.70625
574,2.430029,1.35020,1.47422
575,2.430510,2.42442,2.14219
576,2.430990,2.80231,2.48203
577,2.431471,2.98064,2.79375
578,2.431951,3.12925,3.09922
579,2.432432,3.20143,3.23750
580,2.432912,3.29908,3.30156
581,2.433393,3.38400,3.35547
582,2.433873,3.44769,3.40938
583,2.434354,3.45194,3.43828
584,2.434834,3.47317,3.44297
585,2.435314,3.46892,3.39609
586,2.435795,3.46892,3.36484
587,2.436275,3.60904,3.38672
588,2.436756,3.57931,3.38281
589,2.437236,3.63876,3.43125
590,2.437717,3.85530,3.47656
591,2.438197,4.04212,3.55078
592,2.438678,4.12279,3.58672
593,2.439158,4.19073,3.60938
594,2.439639,4.12704,3.55391
595,2.440119,4.05486,3.47109
596,2.440600,3.88077,3.39297
597,2.441080,3.81709,3.29063
598,2.441561,3.65999,3.13203
599,2.442041,3.51138,2.90547
600,2.442522,3.16321,2.69063
601,2.443002,2.82354,2.42812
602,2.443482,2.64096,2.18359
603,2.443963,2.36073,1.76875
604,2.444443,2.03380,1.24297
605,2.444924,1.06997,0.75156
606,2.445404,0.47979,0.32578
607,2.445885,0.18682,0.16328
608,2.446365,0.12738,0.07969
609,2.446846,0.10615,0.04375
610,2.447326,0.08492,0.02109
611,2.447807,0.05095,0.00000
612,2.448287,0.00000,0.00000
613,2.448768,0.00000,0.00000
614,2.449248,0.00000,0.00000
615,2.449729,0.00000,0.00000
616,2.450209,0.00000,0.00000
617,2.450690,0.00000,0.00938
618,2.451170,0.00000,0.03438
619,2.451650,0.00000,0.04141
620,2.452131,0.00000,0.04297
621,2.452611,0.00000,0.04297
622,2.453092,0.00849,0.06484
623,2.453572,0.00849,0.09688
624,2.454053,0.01274,0.17109
625,2.454533,0.01274,0.25391
626,2.455014,0.04671,0.32891
627,2.455494,0.13587,0.42969
628,2.455975,0.25051,0.55000
629,2.456455,0.32269,0.63672
630,2.456936,0.37789,0.71094
631,2.457416,0.42459,0.76094
632,2.457897,0.46705,0.77109
633,2.458377,0.50102,0.76797
634,2.458857,0.55622,0.74766
635,2.459338,0.57745,0.73203
636,2.459818,0.56895,0.71797
637,2.460299,0.56895,0.70859
638,2.460779,0.56471,0.70391
639,2.461260,0.57320,0.70859
640,2.461740,0.59443,0.71953
641,2.462221,0.60292,0.74141
642,2.462701,0.62840,0.75938
643,2.463182,0.66661,0.78672
644,2.463662,0.71756,0.82031
645,2.464143,0.83645,0.87031
646,2.464623,0.85343,0.89219
647,2.465104,0.87041,0.91875
648,2.465584,0.89589,0.94375
649,2.466065,0.91712,0.97188
650,2.466545,0.95109,1.01563
651,2.467025,1.03176,1.06797
652,2.467506,1.08271,1.12969
653,2.467986,1.10819,1.17578
654,2.468467,1.12517,1.20469
655,2.468947,1.12517,1.19844
656,2.469428,1.08271,1.17266
657,2.469908,1.00628,1.07891
658,2.470389,0.82796,0.80469
659,2.470869,0.39062,0.43750
660,2.471350,0.16135,0.25781
661,2.471830,0.12738,0.12266
662,2.472311,0.09341,0.09688
663,2.472791,0.08916,0.06563
664,2.473272,0.08492,0.05781
665,2.473752,0.07643,0.05547
666,2.474232,0.06369,0.05234
667,2.474713,0.03821,0.05000
668,2.475193,0.00000,0.04219
669,2.475674,0.00000,0.02891
670,2.476154,0.00000,0.01641
671,2.476635,0.00000,0.01484
672,2.477115,0.00000,0.01172
673,2.477596,0.00000,0.01172
674,2.478076,0.15285,0.03203
675,2.478557,0.22079,0.07969
676,2.479037,0.28448,0.21172
677,2.479518,0.43733,0.36953
678,2.479998,0.47554,0.44687
679,2.480479,0.28872,0.37969
680,2.480959,0.16984,0.15625
681,2.481440,0.02123,0.05391
682,2.481920,0.00849,0.02422
683,2.482400,0.00000,0.02031
684,2.482881,0.00000,0.01641
685,2.483361,0.00000,0.01641
686,2.483842,0.00000,0.01641
687,2.484322,0.00000,0.01641
688,2.484803,0.00000,0.01641
689,2.485283,0.00000,0.01563
690,2.485764,0.00000,0.01484
691,2.486244,0.00000,0.01484
692,2.486725,0.00000,0.01406
693,2.487205,0.00000,0.01406
694,2.487686,0.00000,0.01406
695,2.488166,0.00000,0.01328
696,2.488647,0.00000,0.01328
697,2.489127,0.00000,0.01328
698,2.489608,0.00000,0.01406
699,2.490088,0.00000,0.01406
700,2.490568,0.00000,0.01406
701,2.491049,0.00000,0.01406
702,2.491529,0.00000,0.01406
703,2.492010,0.00000,0.01328
704,2.492490,0.00000,0.01250
705,2.492971,0.00000,0.01250
706,2.493451,0.00000,0.01250
707,2.493932,0.00000,0.01172
708,2.494412,0.00000,0.01172
709,2.494893,0.00000,0.01094
710,2.495373,0.00000,0.01016
711,2.495854,0.00000,0.01016
712,2.496334,0.00000,0.01016
713,2.496815,0.00000,0.00859
714,2.497295,0.00000,0.00938
715,2.497775,0.00000,0.00938
716,2.498256,0.00000,0.00938
717,2.498736,0.00000,0.01094
718,2.499217,0.00000,0.01094
719,2.499697,0.00000,0.01172
720,2.500178,0.00000,0.01250
721,2.500658,0.00000,0.01406
722,2.501139,0.00000,0.01484
723,2.501619,0.00000,0.01563
724,2.502100,0.00000,0.01641
725,2.502580,0.00000,0.01797
